"Id","Name","Description__c","FlowName__c","Icon__c","Order__c","SObjectType__c","Status__c"
"a00Fg00000mFkTWIA0","Close Case","Closing a case record requires formal communication to the client to prevent ambiguity regarding the end of representation.  A standard file closing letter should explicitly state that legal representation has ended as of a specific date and summarize the final status of the matter.  The document must clearly outline next steps, such as instructions for retrieving original documents or understanding the firm's file retention policy, which often involves keeping copies for a set period (e.g., five years) before destruction.

The letter should also address financial obligations, informing the client when to expect a final bill and confirming that all necessary documents, including copies of final filings and original materials, are enclosed.  It is best practice to thank the client for their trust and offer future assistance, while politely requesting feedback through a questionnaire to improve services. Avoid introducing new legal advice or negative remarks about the case outcome, ensuring the tone remains professional and courteous. Sending this letter promptly after the case concludes protects the firm from unintentional malpractice claims by clarifying that the attorney-client relationship has terminated.  Finally, the letter serves as a formal record that the firm has fulfilled its duties, leaving the door open for future professional interactions.","Close_Case","#N/A","10","Case","Active"
"a00Fg00000mMHGJIA4","Start Working Action","Some Action for new cases","Close_Case","#N/A","10","Case","Active"
"a00Fg00000mQKFbIAO","Reopen Case","Reopens a case record by changing the status to New","Open_Case","custsom:case_change_status","10","Case","Active"
"a00Fg00000nFp2sIAC","Action 0","Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum.","Close_Case","#N/A","20","Case","Active"
"a00Fg00000nFp2tIAC","Action 1","Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum.","Close_Case","#N/A","21","Case","Active"
"a00Fg00000nFp2uIAC","Action 2","Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum.","Close_Case","#N/A","22","Case","Active"
"a00Fg00000nFp2vIAC","Action 3","Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum.","Close_Case","#N/A","23","Case","Active"
"a00Fg00000nFp2wIAC","Action 4","Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum.","Close_Case","#N/A","24","Case","Active"
"a00Fg00000nFp2xIAC","Action 5","Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum.","Close_Case","#N/A","25","Case","Active"
"a00Fg00000nFp2yIAC","Action 6","Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum.","Close_Case","#N/A","26","Case","Active"
"a00Fg00000nFp2zIAC","Action 7","Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum.","Close_Case","#N/A","27","Case","Active"
